county,s1D,s1R,s2D,s2R
19065,6810,3326,2466,5265
19067,5629,2360,2126,3793
19069,2993,2075,891,2859
19071,2260,1537,595,1949
19073,2743,1977,1073,2610
19075,3389,3325,990,4191
19077,3147,2635,1238,3181
19079,4765,3178,1856,4226
19081,3518,2326,1144,3384
19083,5131,3611,1748,4760
19085,4422,2928,1240,3874
19087,5193,3950,1916,4723
19089,3361,1281,1154,2165
19091,2777,2275,869,2966
19093,1987,1447,422,2194
19095,5051,3318,1673,4673
19097,6871,2813,2605,4561
19099,11368,7759,5031,9614
19101,5690,2700,2987,3429
19103,52741,17537,26047,24347
19105,6306,3543,2268,5236
19107,3170,2035,915,2832
19109,5880,3100,1928,4688
19111,11473,5327,5276,6050
19113,74373,36662,29764,48488
19115,3167,1656,859,2411
19117,2360,2039,967,2470
19119,2318,3614,620,4269
19121,4386,3953,1810,4753
19123,5490,5248,1866,6376
19125,8609,8168,3409,9326
19127,11023,7327,4836,9026
19129,3715,3303,1068,3633
19131,3881,1761,1274,3121
19133,3026,1671,881,2578
19135,2260,1549,827,1983
19137,2812,2343,722,2824
19139,12348,6242,4872,7974
19141,3259,3881,831,4556
19143,1465,1570,323,2013
19145,3565,3618,945,3751
19147,3012,1665,1139,2653
19149,6240,5886,1422,7219
19151,2291,1666,654,2296
19153,130928,80051,61170,96219
19155,23980,17017,7907,17916
19157,6196,3647,2746,4594
19159,1648,1023,552,1537
19161,2850,2088,815,3035
19163,55129,28642,21592,33050
19165,3449,2787,885,3166
19167,4291,11945,973,11677
19169,28351,16802,12029,19430
19171,5547,3163,2023,4323
19173,1745,1209,581,1866
19175,3458,2336,1401,3257
19177,2022,1492,807,1916
19179,10184,5336,5006,6308
19181,13979,10471,6429,13273
19183,6122,4209,2280,6152
19185,1596,1340,582,1683
19187,11773,6460,4355,8533
19189,3912,2055,1236,3062
19191,7612,3303,2766,5179
19193,26038,17358,9461,20895
19195,3081,1113,1067,2046
19197,3786,2509,1260,3554
20001,2159,3448,1135,3124
20003,1079,2291,578,1968
20005,3535,3383,1419,3082
20007,504,1871,244,1653
20009,2283,8362,856,7153
20011,2287,4263,1245,3386
20013,1376,2872,496,2379
20015,7975,18561,4106,16017
20017,366,967,163,874
20019,344,1375,175,1051
20021,3718,5525,1861,3925
20023,215,1232,100,1005
20025,198,940,98,804
20027,803,3128,280,2585
20029,1057,3229,401,2585
20031,974,3077,444,2432
