FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Green,Libertarian,Constitution,Independent American,Personal Choice,Socialist Workers,Socialist,Write-ins,State1,State2,State3,State4,State5,State6,State7
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
12127,1,Volusia,County,228992,126302,95927,4275,0,0,0,0,0,0,0,0,2487,0,0,0,0,1,0
12129,1,Wakulla,County,14337,6700,7098,352,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0
12131,1,Walton,County,27829,8480,18433,636,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0
12133,1,Washington,County,10874,4161,6339,261,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0
15001,1,Hawaii,County,62874,43383,19491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15003,1,Honolulu,County,293810,174634,119176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,1,Kauai,County,25107,17973,7134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15009,1,Maui,County,48265,33169,15096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18001,1,Adams,County,12823,4613,7426,0,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0
18003,1,Allen,County,143726,65053,71734,0,0,6936,0,0,0,0,0,0,3,0,0,0,0,0,0
18005,1,Bartholomew,County,28719,12214,14430,0,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0
18007,1,Benton,County,3517,1416,1798,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0
18009,1,Blackford,County,4666,2228,2059,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0
18011,1,Boone,County,27324,10251,15007,0,0,2066,0,0,0,0,0,0,0,0,0,0,0,0,0
18013,1,Brown,County,7569,3476,3544,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0
18015,1,Carroll,County,7747,3194,3916,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0
18017,1,Cass,County,14080,6323,6622,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0
18019,1,Clark,County,46158,22776,21120,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0
18021,1,Clay,County,10285,4359,5192,0,0,733,0,0,0,0,0,0,0,1,0,0,0,0,0
18023,1,Clinton,County,9701,3931,4938,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0
18025,1,Crawford,County,4468,2256,2000,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0
18027,1,Daviess,County,9846,3295,6088,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0
18029,1,Dearborn,County,21691,7313,13422,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0
18031,1,Decatur,County,9620,3478,5302,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0
18033,1,DeKalb,County,15885,6059,8793,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0
18035,1,Delaware,County,43374,24525,15797,0,0,3052,0,0,0,0,0,0,0,0,0,0,0,0,0
18037,1,Dubois,County,18058,8054,9143,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0
18039,1,Elkhart,County,67188,28230,35858,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0
18041,1,Fayette,County,8053,3856,3498,0,0,694,0,0,0,0,0,0,5,0,0,0,0,0,0
18043,1,Floyd,County,34724,16602,16568,0,0,1553,0,0,0,0,0,0,1,0,0,0,0,0,0
18045,1,Fountain,County,6951,2738,3541,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0
18047,1,Franklin,County,10213,3512,6192,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0
18049,1,Fulton,County,8108,3555,4123,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0
18051,1,Gibson,County,14629,6339,7562,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0
18053,1,Grant,County,24883,10789,12549,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0
18055,1,Greene,County,12819,5480,6494,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0
18057,1,Hamilton,County,134092,52925,72587,0,0,8580,0,0,0,0,0,0,0,0,0,0,0,0,0
18059,1,Hancock,County,32373,11677,17635,0,0,3061,0,0,0,0,0,0,0,0,0,0,0,0,0
18061,1,Harrison,County,17532,7768,9005,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0
18063,1,Hendricks,County,65128,25208,35541,0,0,4379,0,0,0,0,0,0,0,0,0,0,0,0,0
18065,1,Henry,County,18730,8914,8000,0,0,1816,0,0,0,0,0,0,0,0,0,0,0,0,0
18067,1,Howard,County,34083,17660,15739,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0
18069,1,Huntington,County,15206,5166,9077,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0
18071,1,Jackson,County,16445,7045,8292,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0
18073,1,Jasper,County,12488,5335,6673,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0
18075,1,Jay,County,7368,3295,3533,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0
18077,1,Jefferson,County,12338,6104,5624,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0
18079,1,Jennings,County,10075,4441,4937,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0
18081,1,Johnson,County,57067,21256,31529,0,0,4282,0,0,0,0,0,0,0,0,0,0,0,0,0
18083,1,Knox,County,14661,6873,6959,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0
18085,1,Kosciusko,County,29745,8239,19908,0,0,1598,0,0,0,0,0,0,0,0,0,0,0,0,0
18087,1,LaGrange,County,9219,3300,5293,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0
18089,1,Lake,County,182916,126736,52072,0,0,4108,0,0,0,0,0,0,0,0,0,0,0,0,0
18091,1,LaPorte,County,42627,26764,14033,0,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0
18093,1,Lawrence,County,17525,7008,9365,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0
18095,1,Madison,County,51767,27183,20422,0,0,4162,0,0,0,0,0,0,0,0,0,0,0,0,0
18097,1,Marion,County,355579,227858,106919,0,0,20802,0,0,0,0,0,0,0,0,0,0,0,0,0
18099,1,Marshall,County,17633,7867,8930,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0
18101,1,Martin,County,4662,1796,2606,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0
18103,1,Miami,County,12497,4925,6363,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0
18105,1,Monroe,County,56384,35421,17633,0,0,3330,0,0,0,0,0,0,0,0,0,0,0,0,0
18107,1,Montgomery,County,14314,5291,7622,0,0,1401,0,0,0,0,0,0,0,0,0,0,0,0,0
18109,1,Morgan,County,27898,9777,15867,0,0,2254,0,0,0,0,0,0,0,0,0,0,0,0,0
18111,1,Newton,County,5571,2588,2719,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0
18113,1,Noble,County,15891,5939,8946,0,0,1005,0,0,0,0,0,0,1,0,0,0,0,0,0
18115,1,Ohio,County,2761,1116,1536,0,0,108,0,0,0,0,0,0,0,1,0,0,0,0,0
18117,1,Orange,County,7587,3242,3959,0,0,385,0,0,0,0,0,0,1,0,0,0,0,0,0
18119,1,Owen,County,7981,3270,4033,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0
18121,1,Parke,County,6395,2672,3168,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0
18123,1,Perry,County,7724,4722,2660,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0
18125,1,Pike,County,5803,2676,2781,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0
18127,1,Porter,County,72065,42062,27481,0,0,2522,0,0,0,0,0,0,0,0,0,0,0,0,0
18129,1,Posey,County,12115,5605,5897,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0
18131,1,Pulaski,County,5237,2284,2640,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0
18133,1,Putnam,County,13043,5196,6839,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0
18135,1,Randolph,County,9445,4073,4650,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0
18137,1,Ripley,County,10742,3818,6394,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0
18139,1,Rush,County,6857,2729,3392,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0
18141,1,St. Joseph,County,110115,65689,40418,0,0,4006,0,0,0,0,0,0,1,1,0,0,0,0,0
18143,1,Scott,County,8563,4552,3589,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0
18145,1,Shelby,County,15823,6282,8083,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0
18147,1,Spencer,County,9546,4650,4451,0,0,444,0,0,0,0,0,0,1,0,0,0,0,0,0
18149,1,Starke,County,8539,4484,3607,0,0,447,0,0,0,0,0,0,1,0,0,0,0,0,0
18151,1,Steuben,County,13476,5443,7056,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0
18153,1,Sullivan,County,8106,4134,3491,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0
18155,1,Switzerland,County,3293,1536,1581,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0
18157,1,Tippecanoe,County,56159,29181,23130,0,0,3848,0,0,0,0,0,0,0,0,0,0,0,0,0
18159,1,Tipton,County,7198,3001,3533,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0
18161,1,Union,County,3015,1098,1732,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0
18163,1,Vanderburgh,County,71542,35430,32947,0,0,3165,0,0,0,0,0,0,0,0,0,0,0,0,0
18165,1,Vermillion,County,6501,3543,2490,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0
18167,1,Vigo,County,39077,22342,14233,0,0,2501,0,0,0,0,0,0,1,0,0,0,0,0,0
18169,1,Wabash,County,12516,4454,7287,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0
18171,1,Warren,County,3754,1615,1887,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0
18173,1,Warrick,County,27988,12117,14581,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0
18175,1,Washington,County,10646,4571,5512,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0
18177,1,Wayne,County,25280,11752,11529,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
18179,1,Wells,County,11787,3668,7456,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0
18181,1,White,County,9785,4291,4526,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0
